Region,TimeDiff,R1-OCC,R1Light,R1-Temp,"R1_Corr(O,Temp)",R2-OCC,R2Light,R2-Temp,"R2_Corr(O,Temp)",R3-OCC,R3Light,R3-Temp,"R3_Corr(O,Temp)",R4-OCC,R4Light,R4-Temp,"R4_Corr(O,Temp)",R5-OCC,R5Light,R5-Temp,"R5_Corr(O,T)"
5,23,3,0,18.25,0.5,-7,0,19.5,0,4,0,18.31,0.5,6,0,19.69,0.5,6,0,20.25,0.5
5,13,3,0,18.25,0.5,-7,0,19.44,0,4,0,18.31,0.5,7,1,19.69,0.5,7,0,20.25,0.5
5,3,3,0,18.25,0.5,-7,0,19.44,0,4,0,18.31,0.5,7,1,19.69,0.5,7,0,20.25,0.5
5,0,3,0,18.25,0.5,-7,0,19.44,0,4,0,18.31,0.5,7,1,19.69,0.5,7,0,20.25,0.5
4,18,4,0,18.25,0.5,-7,0,19.44,0,4,0,18.31,0.5,6,1,19.69,0.5,6,0,20.25,0.5
2,3180,3,0,18.25,0.5,-6,0,19.44,0,4,0,18.31,0.5,6,0,19.69,0.5,6,0,20.25,0.5
4,3,3,0,18.25,0.5,-6,0,19.44,0,4,0,18.31,0.5,6,0,19.69,0.5,6,0,20.25,0.5
4,0,3,0,18.25,0.5,-6,0,19.44,0,4,0,18.31,0.5,6,0,19.69,0.5,6,0,20.25,0.5
4,0,3,0,18.25,0.5,-6,0,19.44,0,4,0,18.31,0.5,6,0,19.69,0.5,6,0,20.25,0.5
4,0,3,0,18.25,0.5,-6,0,19.44,0,4,0,18.31,0.5,6,0,19.69,0.5,6,0,20.25,0.5
4,0,3,1,18.25,0.5,-6,0,19.44,0,4,0,18.31,0.5,6,1,19.69,0.5,6,0,20.25,0.5
3,19780,3,0,18.25,0.5,-7,0,19.44,0,5,0,18.31,0.5,6,0,19.69,0.5,6,0,20.25,0.5
3,28,3,0,18.37,0.5,-6,0,19.37,0,4,0,18.56,0.5,6,0,19.69,0.5,6,1,20.25,0.5
2,40,4,0,18.44,0.5,-7,0,19.37,0,4,0,18.56,0.5,6,0,19.75,0.5,6,0,20.25,0.5
4,38,3,0,18.44,0.5,-7,0,19.37,0,4,0,18.56,0.5,7,0,19.75,0.5,7,0,20.25,0.5
5,47,3,0,18.44,0.5,-7,0,19.5,0,4,0,18.62,0.5,6,0,19.75,0.5,6,0,20.25,0.5
5,5,3,0,18.44,0.5,-7,0,19.5,0,4,0,18.62,0.5,6,0,19.75,0.5,6,0,20.25,0.5
4,14,2,0,18.44,0.5,-7,0,19.5,0,4,0,18.62,0.5,7,0,19.75,0.5,7,0,20.25,0.5
5,6,2,0,18.44,0.5,-7,0,19.5,0,4,0,18.62,0.5,7,0,19.75,0.5,7,0,20.25,0.5
5,26,2,0,18.5,0.5,-7,0,19.5,0,4,0,18.62,0.5,8,0,19.69,0.5,8,0,20.25,0.5
4,30,3,0,18.5,0.5,-7,1,19.5,0,4,0,18.62,0.5,7,0,19.69,0.5,7,0,20.25,0.5
